78-102-04-01-102d1600400560,11400,皮,水牛皮,102,160mm,d,软坐感,200mm,600,400mm,左转角,560mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d1600400590,11400,皮,水牛皮,102,160mm,d,软坐感,200mm,600,400mm,左转角,590mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d1700380530,13300,皮,水牛皮,102,160mm,d,软坐感,200mm,700,380mm,左转角,530mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d1700380560,13300,皮,水牛皮,102,160mm,d,软坐感,200mm,700,380mm,左转角,560mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d1700380590,13300,皮,水牛皮,102,160mm,d,软坐感,200mm,700,380mm,左转角,590mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d1700400530,13300,皮,水牛皮,102,160mm,d,软坐感,200mm,700,400mm,左转角,530mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d1700400560,13300,皮,水牛皮,102,160mm,d,软坐感,200mm,700,400mm,左转角,560mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d1700400590,13300,皮,水牛皮,102,160mm,d,软坐感,200mm,700,400mm,左转角,590mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d1800380530,15200,皮,水牛皮,102,160mm,d,软坐感,200mm,800,380mm,左转角,530mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d1800380560,15200,皮,水牛皮,102,160mm,d,软坐感,200mm,800,380mm,左转角,560mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
